## Fri Nov 25 12:34:55 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM__468x_n4 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM__468x_n4 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM__468x_n4/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
FRAGMENTO_184_1	1171373.PACID_29350	2.45e-197	555.0	COG4402@1|root,COG4402@2|Bacteria,2I90K@201174|Actinobacteria	201174|Actinobacteria	S	Uncharacterized protein conserved in bacteria (DUF2330)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2330
FRAGMENTO_184_2	1171373.PACID_29340	7.19e-241	665.0	COG4608@1|root,COG4608@2|Bacteria,2H4BW@201174|Actinobacteria,4DNHC@85009|Propionibacteriales	201174|Actinobacteria	E	Belongs to the ABC transporter superfamily	-	-	-	ko:K02032,ko:K10823	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00239,M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	ABC_tran,oligo_HPY
FRAGMENTO_184_3	1171373.PACID_29330	8.15e-240	660.0	COG0444@1|root,COG0444@2|Bacteria,2GIXV@201174|Actinobacteria,4DT32@85009|Propionibacteriales	201174|Actinobacteria	P	Belongs to the ABC transporter superfamily	dppD	-	-	ko:K02031,ko:K15583	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00239,M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	ABC_tran,oligo_HPY
FRAGMENTO_185_1	1171373.PACID_29320	1.3e-183	515.0	COG1173@1|root,COG1173@2|Bacteria,2GJ9E@201174|Actinobacteria,4DUIF@85009|Propionibacteriales	201174|Actinobacteria	EP	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02034,ko:K15582	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00239,M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	BPD_transp_1,OppC_N
FRAGMENTO_185_2	1171373.PACID_29310	1.37e-197	550.0	COG0601@1|root,COG0601@2|Bacteria,2GJ2C@201174|Actinobacteria,4DTQF@85009|Propionibacteriales	201174|Actinobacteria	P	Binding-protein-dependent transport system inner membrane component	dppB	-	-	ko:K02033,ko:K15581	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00239,M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	BPD_transp_1
FRAGMENTO_185_3	1171373.PACID_29300	0.0	1014.0	COG4166@1|root,COG4166@2|Bacteria,2GIUH@201174|Actinobacteria	201174|Actinobacteria	E	ABC transporter substrate-binding protein	-	-	-	ko:K15580	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	SBP_bac_5
FRAGMENTO_186_2	1171373.PACID_29270	2.92e-108	314.0	COG4894@1|root,COG4894@2|Bacteria,2IS8M@201174|Actinobacteria	201174|Actinobacteria	S	Scramblase	-	-	-	-	-	-	-	-	-	-	-	-	Scramblase
FRAGMENTO_186_3	1171373.PACID_29260	3.82e-67	209.0	COG4894@1|root,COG4894@2|Bacteria	2|Bacteria	-	-	-	-	3.2.1.52	ko:K12373	ko00511,ko00513,ko00520,ko00531,ko00603,ko00604,ko01100,ko04142,map00511,map00513,map00520,map00531,map00603,map00604,map01100,map04142	M00079	R00022,R06004,R11316	RC00049	ko00000,ko00001,ko00002,ko01000,ko03110	-	GH20	-	CBM_35,CBM_6,Glyco_hydro_20,Glyco_hydro_20b,He_PIG,HemolysinCabind,Laminin_G_3
FRAGMENTO_186_4	1171373.PACID_29250	7.21e-119	343.0	2B21Q@1|root,31UIJ@2|Bacteria,2IMTW@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FRAGMENTO_186_5	1171373.PACID_29240	6.16e-88	266.0	COG1846@1|root,COG1846@2|Bacteria	2|Bacteria	K	DNA-binding transcription factor activity	effR	-	-	-	-	-	-	-	-	-	-	-	MarR,MarR_2
FRAGMENTO_187_1	1171373.PACID_29230	1.03e-196	548.0	COG2040@1|root,COG2040@2|Bacteria,2GIWK@201174|Actinobacteria,4DQ81@85009|Propionibacteriales	201174|Actinobacteria	E	Homocysteine S-methyltransferase	mmuM	-	2.1.1.10	ko:K00547,ko:K21169	ko00270,ko01059,ko01100,ko01110,ko01130,map00270,map01059,map01100,map01110,map01130	M00825	R00650	RC00003,RC00035	ko00000,ko00001,ko00002,ko01000	-	-	-	S-methyl_trans
FRAGMENTO_187_2	1171373.PACID_29220	3.41e-313	858.0	COG0833@1|root,COG0833@2|Bacteria,2I2DX@201174|Actinobacteria,4DWZH@85009|Propionibacteriales	201174|Actinobacteria	E	Amino acid permease	lysP	-	-	ko:K11733,ko:K16235	-	-	-	-	ko00000,ko02000	2.A.3.1.10,2.A.3.1.2	-	-	AA_permease
FRAGMENTO_187_3	1171373.PACID_29210	6.96e-61	207.0	COG1075@1|root,COG1075@2|Bacteria,2HY7W@201174|Actinobacteria,4DTDA@85009|Propionibacteriales	201174|Actinobacteria	S	acetyltransferases and hydrolases with the alpha beta hydrolase fold	-	-	-	-	-	-	-	-	-	-	-	-	-
FRAGMENTO_188_1	1171373.PACID_29210	2.82e-231	656.0	COG1075@1|root,COG1075@2|Bacteria,2HY7W@201174|Actinobacteria,4DTDA@85009|Propionibacteriales	201174|Actinobacteria	S	acetyltransferases and hydrolases with the alpha beta hydrolase fold	-	-	-	-	-	-	-	-	-	-	-	-	-
FRAGMENTO_188_2	1688.BCUN_2119	7.25e-129	382.0	COG4260@1|root,COG4260@2|Bacteria,2HUEV@201174|Actinobacteria,4CZKS@85004|Bifidobacteriales	201174|Actinobacteria	S	Short C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Band_7_1,DUF4339,SHOCT
FRAGMENTO_188_3	1347087.CBYO010000017_gene2744	3.85e-46	157.0	2C3F9@1|root,32UDZ@2|Bacteria,1VXUI@1239|Firmicutes,4HX9T@91061|Bacilli	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FRAGMENTO_189_1	446466.Cfla_3408	9.59e-27	112.0	COG1672@1|root,COG1672@2|Bacteria,2GMAZ@201174|Actinobacteria	201174|Actinobacteria	S	PFAM Archaeal ATPase	-	-	-	ko:K06921	-	-	-	-	ko00000	-	-	-	ATPase_2,DUF234,HTH_5
FRAGMENTO_189_2	446466.Cfla_3408	2.63e-83	268.0	COG1672@1|root,COG1672@2|Bacteria,2GMAZ@201174|Actinobacteria	201174|Actinobacteria	S	PFAM Archaeal ATPase	-	-	-	ko:K06921	-	-	-	-	ko00000	-	-	-	ATPase_2,DUF234,HTH_5
FRAGMENTO_189_3	1171373.PACID_29180	2.58e-198	553.0	COG1408@1|root,COG1408@2|Bacteria,2GJHT@201174|Actinobacteria,4DNBM@85009|Propionibacteriales	201174|Actinobacteria	S	Calcineurin-like phosphoesterase	ykuE	-	-	ko:K07098	-	-	-	-	ko00000	-	-	-	Metallophos,Metallophos_2
FRAGMENTO_189_4	1171373.PACID_29170	1.22e-123	376.0	COG0744@1|root,COG2815@1|root,COG0744@2|Bacteria,COG2815@2|Bacteria,2GK21@201174|Actinobacteria,4DPA4@85009|Propionibacteriales	201174|Actinobacteria	M	Transglycosylase	pon1	-	-	-	-	-	-	-	-	-	-	-	PASTA,Transgly,Transpeptidase
FRAGMENTO_190_1	105420.BBPO01000005_gene2861	1.24e-15	78.6	COG0744@1|root,COG0744@2|Bacteria,2GK21@201174|Actinobacteria,2NHUM@228398|Streptacidiphilus	201174|Actinobacteria	M	Penicillin binding protein transpeptidase domain	pon1	-	-	-	-	-	-	-	-	-	-	-	PASTA,Transgly,Transpeptidase
FRAGMENTO_190_2	1171373.PACID_29170	7.33e-280	785.0	COG0744@1|root,COG2815@1|root,COG0744@2|Bacteria,COG2815@2|Bacteria,2GK21@201174|Actinobacteria,4DPA4@85009|Propionibacteriales	201174|Actinobacteria	M	Transglycosylase	pon1	-	-	-	-	-	-	-	-	-	-	-	PASTA,Transgly,Transpeptidase
FRAGMENTO_190_3	1292373.H640_01373	1.57e-39	133.0	2CC1Y@1|root,32TCV@2|Bacteria,2IQEP@201174|Actinobacteria,4DRQS@85009|Propionibacteriales	201174|Actinobacteria	K	Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA	whiB4	GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0008150,GO:0008152,GO:0015036,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0030312,GO:0043254,GO:0044087,GO:0044464,GO:0047134,GO:0048037,GO:0050789,GO:0050794,GO:0051128,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0065007,GO:0071944,GO:0090034,GO:0097159,GO:1901363	-	ko:K18955	-	-	-	-	ko00000,ko03000	-	-	-	Whib
FRAGMENTO_190_4	1171373.PACID_29150	2.21e-33	115.0	2E3JZ@1|root,32YI8@2|Bacteria,2GQIX@201174|Actinobacteria,4DS7G@85009|Propionibacteriales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF4177
FRAGMENTO_190_5	1171373.PACID_29140	4.86e-73	222.0	COG0251@1|root,COG0251@2|Bacteria,2IHNE@201174|Actinobacteria,4DQIS@85009|Propionibacteriales	201174|Actinobacteria	J	YjgF/chorismate_mutase-like, putative endoribonuclease	yabJ	-	-	-	-	-	-	-	-	-	-	-	YjgF_endoribonc
FRAGMENTO_190_6	1122997.AUDD01000002_gene1106	4.45e-111	324.0	COG0664@1|root,COG0664@2|Bacteria,2GMPN@201174|Actinobacteria,4DMXW@85009|Propionibacteriales	201174|Actinobacteria	K	helix_turn_helix, cAMP Regulatory protein	crp	GO:0000166,GO:0000976,GO:0001067,GO:0001130,GO:0001216,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006109,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010565,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010675,GO:0016020,GO:0017076,GO:0019219,GO:0019222,GO:0030312,GO:0030551,GO:0030552,GO:0030554,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0032993,GO:0036094,GO:0040007,GO:0043167,GO:0043168,GO:0043565,GO:0044212,GO:0044464,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0060255,GO:0062012,GO:0065007,GO:0071944,GO:0080090,GO:0097159,GO:0097367,GO:0140110,GO:1901265,GO:1901363,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1990837,GO:2000112,GO:2000113,GO:2000874,GO:2001141	-	ko:K10914	ko02020,ko02024,ko02025,ko02026,ko05111,map02020,map02024,map02025,map02026,map05111	-	-	-	ko00000,ko00001,ko03000	-	-	-	HTH_Crp_2,cNMP_binding
FRAGMENTO_191_2	1171373.PACID_29120	7.94e-156	438.0	COG0177@1|root,COG0177@2|Bacteria,2GJ01@201174|Actinobacteria,4DNJN@85009|Propionibacteriales	201174|Actinobacteria	L	DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate	nth	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0030312,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901363	4.2.99.18	ko:K10773	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	EndIII_4Fe-2S,HhH-GPD
FRAGMENTO_191_3	1171373.PACID_29110	1.58e-85	259.0	COG0526@1|root,COG0526@2|Bacteria	2|Bacteria	CO	cell redox homeostasis	-	-	-	ko:K02199	-	-	-	-	ko00000,ko03110	-	-	-	AhpC-TSA,Redoxin
FRAGMENTO_191_4	1171373.PACID_29100	5.13e-140	397.0	COG0494@1|root,COG0494@2|Bacteria,2GKG9@201174|Actinobacteria,4DQJF@85009|Propionibacteriales	201174|Actinobacteria	L	NUDIX domain	-	-	-	-	-	-	-	-	-	-	-	-	NUDIX
FRAGMENTO_191_5	1171373.PACID_29090	6.49e-96	281.0	2DPPE@1|root,332VJ@2|Bacteria,2IN30@201174|Actinobacteria,4DSE1@85009|Propionibacteriales	201174|Actinobacteria	S	Putative Actinobacterial Holin-X, holin superfamily III	-	-	-	-	-	-	-	-	-	-	-	-	Phage_holin_3_6
FRAGMENTO_191_6	1171373.PACID_29080	1.03e-103	304.0	COG0500@1|root,COG2226@2|Bacteria	2|Bacteria	Q	methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11,Methyltransf_25
FRAGMENTO_192_1	1171373.PACID_29080	2.97e-53	172.0	COG0500@1|root,COG2226@2|Bacteria	2|Bacteria	Q	methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11,Methyltransf_25
FRAGMENTO_192_2	1171373.PACID_29070	2.54e-213	593.0	COG0489@1|root,COG0489@2|Bacteria,2I2TA@201174|Actinobacteria,4DQT2@85009|Propionibacteriales	201174|Actinobacteria	D	protein tyrosine kinase activity	-	-	-	-	-	-	-	-	-	-	-	-	CbiA
FRAGMENTO_192_3	1171373.PACID_29060	3.81e-277	762.0	COG4962@1|root,COG4962@2|Bacteria,2GKKJ@201174|Actinobacteria,4DN5K@85009|Propionibacteriales	201174|Actinobacteria	U	Type II/IV secretion system protein	cpaF	-	-	ko:K02283	-	-	-	-	ko00000,ko02035,ko02044	-	-	-	T2SSE
FRAGMENTO_192_4	1171373.PACID_29050	2.45e-130	375.0	COG4965@1|root,COG4965@2|Bacteria	2|Bacteria	U	Type ii secretion system	-	-	-	ko:K12510	-	-	-	-	ko00000,ko02044	-	-	-	T2SSF
FRAGMENTO_193_2	1171373.PACID_29040	2.99e-144	410.0	COG2064@1|root,COG2064@2|Bacteria	2|Bacteria	NU	Type II secretion system (T2SS), protein F	gspF	-	-	ko:K12510,ko:K12511	-	-	-	-	ko00000,ko02044	-	-	-	T2SSF
FRAGMENTO_193_4	1171373.PACID_29020	8.85e-60	187.0	2EGB2@1|root,33A2X@2|Bacteria,2GT7C@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	TadE
FRAGMENTO_193_5	1171373.PACID_29010	2.22e-57	180.0	2DRBM@1|root,33B4F@2|Bacteria	2|Bacteria	S	TIGRFAM helicase secretion neighborhood TadE-like protein	-	-	-	-	-	-	-	-	-	-	-	-	-
FRAGMENTO_194_1	1463864.JOGO01000066_gene2184	6.82e-35	151.0	COG3209@1|root,COG3209@2|Bacteria,2GK1D@201174|Actinobacteria	201174|Actinobacteria	M	TIGRFAM YD repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	PT-HINT,RHS_repeat,SpvB
FRAGMENTO_195_1	1150864.MILUP08_42766	2.14e-150	493.0	COG3209@1|root,COG3209@2|Bacteria,2GK1D@201174|Actinobacteria,4DHTK@85008|Micromonosporales	201174|Actinobacteria	M	Pretoxin HINT domain	-	-	-	-	-	-	-	-	-	-	-	-	PT-HINT,RHS_repeat
FRAGMENTO_196_1	1385520.N802_15330	2.23e-27	120.0	COG2755@1|root,COG2755@2|Bacteria,2GK5H@201174|Actinobacteria	201174|Actinobacteria	E	Alpha-1,2-mannosidase	-	-	-	-	-	-	-	-	-	-	-	-	Laminin_G_3
FRAGMENTO_196_3	1463864.JOGO01000066_gene2184	6.14e-36	150.0	COG3209@1|root,COG3209@2|Bacteria,2GK1D@201174|Actinobacteria	201174|Actinobacteria	M	TIGRFAM YD repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	PT-HINT,RHS_repeat,SpvB
FRAGMENTO_197_1	1120950.KB892798_gene2189	6.05e-46	162.0	COG3209@1|root,COG3209@2|Bacteria,2GMBB@201174|Actinobacteria,4DPS1@85009|Propionibacteriales	201174|Actinobacteria	M	COG3209 Rhs family protein	-	-	-	-	-	-	-	-	-	-	-	-	Endonuclea_NS_2,PT-HINT,RHS_repeat,TGFb_propeptide,Tox-REase-5
FRAGMENTO_197_2	1120950.KB892798_gene2190	1.76e-37	129.0	28WVZ@1|root,2ZIV9@2|Bacteria,2GSRZ@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FRAGMENTO_197_3	1171373.PACID_06330	9.43e-267	736.0	COG3385@1|root,COG3385@2|Bacteria,2GJUG@201174|Actinobacteria,4DU0T@85009|Propionibacteriales	201174|Actinobacteria	L	Transposase DDE domain group 1	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_1_4
FRAGMENTO_198_1	1171373.PACID_28990	4.77e-254	702.0	COG4637@1|root,COG4637@2|Bacteria,2GQVV@201174|Actinobacteria	201174|Actinobacteria	GM	ATP-binding protein	-	-	-	-	-	-	-	-	-	-	-	-	AAA_15,AAA_21
FRAGMENTO_198_2	1177594.MIC448_460011	5.43e-125	364.0	29VKT@1|root,30H3T@2|Bacteria,2IJ8Y@201174|Actinobacteria,4FS28@85023|Microbacteriaceae	201174|Actinobacteria	S	Nucleotidyl transferase AbiEii toxin, Type IV TA system	-	-	-	-	-	-	-	-	-	-	-	-	AbiEii
FRAGMENTO_198_3	450380.JPSY01000001_gene386	4.14e-88	263.0	COG5340@1|root,COG5340@2|Bacteria,2IQBX@201174|Actinobacteria	201174|Actinobacteria	K	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	AbiEi_4
FRAGMENTO_198_4	882082.SaccyDRAFT_2672	1.72e-46	158.0	COG3631@1|root,COG3631@2|Bacteria,2IHRJ@201174|Actinobacteria	201174|Actinobacteria	S	Ketosteroid isomerase-related protein	-	-	-	-	-	-	-	-	-	-	-	-	Abi_2
FRAGMENTO_199_1	882082.SaccyDRAFT_2672	3.5e-15	74.7	COG3631@1|root,COG3631@2|Bacteria,2IHRJ@201174|Actinobacteria	201174|Actinobacteria	S	Ketosteroid isomerase-related protein	-	-	-	-	-	-	-	-	-	-	-	-	Abi_2
FRAGMENTO_199_2	1276920.ADIAG_00910	2.92e-24	94.7	COG4710@1|root,COG4710@2|Bacteria	2|Bacteria	DJ	CopG domain protein DNA-binding domain protein	-	-	-	ko:K18918	-	-	-	-	ko00000,ko02048,ko03000	-	-	-	RHH_1,RHH_3,TraY
FRAGMENTO_199_3	1171373.PACID_28960	8.46e-53	166.0	2EBXP@1|root,335X1@2|Bacteria,2I70R@201174|Actinobacteria	201174|Actinobacteria	S	Antitoxin component of a toxin-antitoxin (TA) module	-	-	-	-	-	-	-	-	-	-	-	-	PhdYeFM_antitox
FRAGMENTO_199_4	1171373.PACID_28950	1.86e-51	162.0	COG2026@1|root,COG2026@2|Bacteria,2IRES@201174|Actinobacteria,4DVZ9@85009|Propionibacteriales	201174|Actinobacteria	DJ	ParE toxin of type II toxin-antitoxin system, parDE	-	-	-	ko:K06218	-	-	-	-	ko00000,ko02048	-	-	-	ParE_toxin
FRAGMENTO_199_5	1171373.PACID_28920	0.0	1371.0	COG1061@1|root,COG1205@1|root,COG1061@2|Bacteria,COG1205@2|Bacteria,2GJJ6@201174|Actinobacteria,4DNQG@85009|Propionibacteriales	201174|Actinobacteria	L	Domain of unknown function (DUF1998)	-	-	-	ko:K06877	-	-	-	-	ko00000	-	-	-	DEAD,DUF1998,Helicase_C
FRAGMENTO_200_1	1171373.PACID_28900	0.0	890.0	COG2890@1|root,COG2890@2|Bacteria,2GJPP@201174|Actinobacteria,4DNCS@85009|Propionibacteriales	201174|Actinobacteria	J	Methyltransferase small domain	rsmC	-	-	-	-	-	-	-	-	-	-	-	MTS
FRAGMENTO_200_2	1171373.PACID_28890	1.04e-65	199.0	COG4309@1|root,COG4309@2|Bacteria,2GS7C@201174|Actinobacteria	201174|Actinobacteria	S	Uncharacterized conserved protein (DUF2249)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2249,Hemerythrin
FRAGMENTO_200_3	1171373.PACID_28880	6.49e-242	689.0	COG0550@1|root,COG1754@1|root,COG0550@2|Bacteria,COG1754@2|Bacteria,2GJU7@201174|Actinobacteria,4DN7K@85009|Propionibacteriales	201174|Actinobacteria	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	GO:0000287,GO:0003674,GO:0003824,GO:0003916,GO:0003917,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0009892,GO:0010605,GO:0016020,GO:0016853,GO:0019219,GO:0019222,GO:0030312,GO:0031323,GO:0031324,GO:0032069,GO:0032074,GO:0040007,GO:0043086,GO:0043167,GO:0043169,GO:0044092,GO:0044424,GO:0044444,GO:0044464,GO:0045934,GO:0046872,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051336,GO:0051346,GO:0060255,GO:0060700,GO:0060701,GO:0065007,GO:0065009,GO:0071944,GO:0080090,GO:0140097	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	Topoisom_bac,Toprim,Toprim_C_rpt
FRAGMENTO_201_1	1171373.PACID_28880	0.0	972.0	COG0550@1|root,COG1754@1|root,COG0550@2|Bacteria,COG1754@2|Bacteria,2GJU7@201174|Actinobacteria,4DN7K@85009|Propionibacteriales	201174|Actinobacteria	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	GO:0000287,GO:0003674,GO:0003824,GO:0003916,GO:0003917,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0009892,GO:0010605,GO:0016020,GO:0016853,GO:0019219,GO:0019222,GO:0030312,GO:0031323,GO:0031324,GO:0032069,GO:0032074,GO:0040007,GO:0043086,GO:0043167,GO:0043169,GO:0044092,GO:0044424,GO:0044444,GO:0044464,GO:0045934,GO:0046872,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051336,GO:0051346,GO:0060255,GO:0060700,GO:0060701,GO:0065007,GO:0065009,GO:0071944,GO:0080090,GO:0140097	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	Topoisom_bac,Toprim,Toprim_C_rpt
FRAGMENTO_201_2	767029.HMPREF9154_2697	4.93e-47	176.0	COG3025@1|root,COG3025@2|Bacteria	2|Bacteria	S	triphosphatase activity	cyaA6	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944	3.6.1.25	ko:K18446	-	-	-	-	ko00000,ko01000	-	-	-	CHAD,CYTH
FRAGMENTO_201_3	1171373.PACID_28860	1.8e-38	134.0	COG0125@1|root,COG0125@2|Bacteria,2GNTI@201174|Actinobacteria,4DNXP@85009|Propionibacteriales	201174|Actinobacteria	F	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis	tmk	-	2.7.4.9	ko:K00943	ko00240,ko01100,map00240,map01100	M00053	R02094,R02098	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	MFS_1,MFS_3,Thymidylate_kin
FRAGMENTO_202_1	1122997.AUDD01000002_gene1087	4.58e-60	191.0	COG0125@1|root,COG0125@2|Bacteria,2GNTI@201174|Actinobacteria,4DNXP@85009|Propionibacteriales	201174|Actinobacteria	F	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis	tmk	-	2.7.4.9	ko:K00943	ko00240,ko01100,map00240,map01100	M00053	R02094,R02098	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	MFS_1,MFS_3,Thymidylate_kin
